C:\EASYCUTNESTING BETA\CNCEXAMPLE\EXAMPLEDXF\PUP TAGLIAERBA\TOTALE\FLANGIA 6PZ SP8.DXF;-;-;Flangia 6pz sp8;2;1;-
C:\EASYCUTNESTING BETA\CNCEXAMPLE\EXAMPLEDXF\PUP TAGLIAERBA\TOTALE\FLANGIA ALBERO 3PZ SP12 (1).DXF;-;-;Flangia albero 3pz sp12 (1);3;1;-
C:\EASYCUTNESTING BETA\CNCEXAMPLE\EXAMPLEDXF\PUP TAGLIAERBA\TOTALE\FLANGIA ALBERO 3PZ SP12.DXF;-;-;Flangia albero 3pz sp12;4;1;-
C:\EASYCUTNESTING BETA\CNCEXAMPLE\EXAMPLEDXF\PUP TAGLIAERBA\TOTALE\FLANGIA MOZZI 3PZ SP15 (1).DXF;-;-;Flangia mozzi 3pz sp15 (1);5;1;-
C:\EASYCUTNESTING BETA\CNCEXAMPLE\EXAMPLEDXF\PUP TAGLIAERBA\TOTALE\FLANGIA MOZZI 3PZ SP15.DXF;-;-;Flangia mozzi 3pz sp15;7;1;-
C:\EASYCUTNESTING BETA\CNCEXAMPLE\EXAMPLEDXF\PUP TAGLIAERBA\TOTALE\FORCELLA RUOTA 2PZ SP12.DXF;-;-;Forcella ruota 2pz sp12;5;1;-
C:\EASYCUTNESTING BETA\CNCEXAMPLE\EXAMPLEDXF\PUP TAGLIAERBA\TOTALE\FORCELLA RUOTA SENZA FORI 2PZ SP12.DXF;-;-;Forcella ruota senza fori 2pz sp12;4;1;-
C:\EASYCUTNESTING BETA\CNCEXAMPLE\EXAMPLEDXF\PUP TAGLIAERBA\TOTALE\IRROBUSTIMENTO CARTER 1PZ SP6.DXF;-;-;Irrobustimento carter 1pz sp6;10;1;-
C:\EASYCUTNESTING BETA\CNCEXAMPLE\EXAMPLEDXF\PUP TAGLIAERBA\TOTALE\IRROBUSTIMENTO LAMIERA CARTER 1PZ SP6.DXF;-;-;Irrobustimento lamiera carter 1pz sp6;3;1;-
C:\EASYCUTNESTING BETA\CNCEXAMPLE\EXAMPLEDXF\PUP TAGLIAERBA\TOTALE\IRROBUSTIMENTO LAMIERA CARTER SOTTO 1PZ SP6.DXF;-;-;Irrobustimento lamiera carter sotto 1pz sp6;3;1;-
